scenario,object,direction,speed,box_size,noise_prob,expected_id,stable_id,correct_rate,hit_rate,non_overlap_correct_rate,non_overlap_hit_rate,passed
vertical_cross,up_obj,up,2,5,0.00025,5,1,0.5,1.0,0.47058823529411764,1.0,False
diagonal_cross,down_right_obj,down_right,2,5,0.00025,8,1,0.3333333333333333,1.0,0.3333333333333333,1.0,False
diagonal_cross,up_left_obj,up_left,2,5,0.00025,4,5,0.3333333333333333,1.0,0.3333333333333333,1.0,False
horizontal_cross,right_obj,right,1,7,0.00025,7,7,0.8888888888888888,1.0,0.8888888888888888,1.0,True
horizontal_cross,left_obj,left,1,7,0.00025,3,3,1.0,1.0,1.0,1.0,True
vertical_cross,down_obj,down,1,7,0.00025,1,1,0.8333333333333334,1.0,0.8333333333333334,1.0,True
vertical_cross,up_obj,up,1,7,0.00025,5,5,0.8888888888888888,1.0,0.8888888888888888,1.0,True
diagonal_cross,down_right_obj,down_right,1,7,0.00025,8,8,1.0,1.0,1.0,1.0,True
diagonal_cross,up_left_obj,up_left,1,7,0.00025,4,4,0.5555555555555556,1.0,0.5555555555555556,1.0,False
horizontal_cross,right_obj,right,2,7,0.00025,7,3,0.5,1.0,0.5294117647058824,1.0,False
horizontal_cross,left_obj,left,2,7,0.00025,3,7,0.3333333333333333,1.0,0.29411764705882354,1.0,False
vertical_cross,down_obj,down,2,7,0.00025,1,1,0.3888888888888889,1.0,0.4117647058823529,1.0,False
vertical_cross,up_obj,up,2,7,0.00025,5,1,0.4444444444444444,1.0,0.4117647058823529,1.0,False
diagonal_cross,down_right_obj,down_right,2,7,0.00025,8,1,0.2777777777777778,1.0,0.2777777777777778,1.0,False
diagonal_cross,up_left_obj,up_left,2,7,0.00025,4,5,0.3888888888888889,1.0,0.3888888888888889,1.0,False
horizontal_cross,right_obj,right,1,3,0.0005,7,7,0.9444444444444444,1.0,0.9444444444444444,1.0,True
horizontal_cross,left_obj,left,1,3,0.0005,3,2,0.2222222222222222,0.9444444444444444,0.2222222222222222,0.9444444444444444,False
vertical_cross,down_obj,down,1,3,0.0005,1,1,0.9444444444444444,1.0,0.9444444444444444,1.0,True
vertical_cross,up_obj,up,1,3,0.0005,5,4,0.3333333333333333,1.0,0.3333333333333333,1.0,False
diagonal_cross,down_right_obj,down_right,1,3,0.0005,8,8,0.5,1.0,0.5,1.0,False
diagonal_cross,up_left_obj,up_left,1,3,0.0005,4,4,0.8888888888888888,1.0,0.8888888888888888,1.0,True
horizontal_cross,right_obj,right,2,3,0.0005,7,3,0.4444444444444444,0.9444444444444444,0.47058823529411764,1.0,False
horizontal_cross,left_obj,left,2,3,0.0005,3,7,0.3333333333333333,0.9444444444444444,0.35294117647058826,1.0,False
vertical_cross,down_obj,down,2,3,0.0005,1,5,0.3333333333333333,0.8888888888888888,0.35294117647058826,0.8823529411764706,False
vertical_cross,up_obj,up,2,3,0.0005,5,1,0.5,1.0,0.47058823529411764,1.0,False
diagonal_cross,down_right_obj,down_right,2,3,0.0005,8,2,0.2222222222222222,0.7592592592592592,0.2222222222222222,0.7592592592592592,False
diagonal_cross,up_left_obj,up_left,2,3,0.0005,4,6,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.7777777777777778,False
horizontal_cross,right_obj,right,1,5,0.0005,7,7,0.9444444444444444,1.0,0.9444444444444444,1.0,True
horizontal_cross,left_obj,left,1,5,0.0005,3,3,0.6666666666666666,1.0,0.6666666666666666,1.0,False
vertical_cross,down_obj,down,1,5,0.0005,1,1,0.7777777777777778,1.0,0.7777777777777778,1.0,True
vertical_cross,up_obj,up,1,5,0.0005,5,5,0.8333333333333334,1.0,0.8333333333333334,1.0,True
diagonal_cross,down_right_obj,down_right,1,5,0.0005,8,8,0.8333333333333334,1.0,0.8333333333333334,1.0,True
diagonal_cross,up_left_obj,up_left,1,5,0.0005,4,4,0.6666666666666666,1.0,0.6666666666666666,1.0,False
horizontal_cross,right_obj,right,2,5,0.0005,7,3,0.3333333333333333,1.0,0.29411764705882354,1.0,False
horizontal_cross,left_obj,left,2,5,0.0005,3,3,0.5,1.0,0.5294117647058824,1.0,False
vertical_cross,down_obj,down,2,5,0.0005,1,5,0.3888888888888889,1.0,0.4117647058823529,1.0,False
vertical_cross,up_obj,up,2,5,0.0005,5,1,0.4444444444444444,1.0,0.4117647058823529,1.0,False
diagonal_cross,down_right_obj,down_right,2,5,0.0005,8,1,0.16666666666666666,1.0,0.16666666666666666,1.0,False
diagonal_cross,up_left_obj,up_left,2,5,0.0005,4,4,0.3333333333333333,1.0,0.3333333333333333,1.0,False
horizontal_cross,right_obj,right,1,7,0.0005,7,7,0.7777777777777778,1.0,0.7777777777777778,1.0,True
horizontal_cross,left_obj,left,1,7,0.0005,3,3,1.0,1.0,1.0,1.0,True
vertical_cross,down_obj,down,1,7,0.0005,1,1,0.8888888888888888,1.0,0.8888888888888888,1.0,True
vertical_cross,up_obj,up,1,7,0.0005,5,5,0.8333333333333334,1.0,0.8333333333333334,1.0,True
diagonal_cross,down_right_obj,down_right,1,7,0.0005,8,8,0.8333333333333334,1.0,0.8333333333333334,1.0,True
diagonal_cross,up_left_obj,up_left,1,7,0.0005,4,4,0.8333333333333334,1.0,0.8333333333333334,1.0,True
horizontal_cross,right_obj,right,2,7,0.0005,7,3,0.2777777777777778,1.0,0.29411764705882354,1.0,False
horizontal_cross,left_obj,left,2,7,0.0005,3,7,0.3333333333333333,1.0,0.29411764705882354,1.0,False
vertical_cross,down_obj,down,2,7,0.0005,1,5,0.2777777777777778,1.0,0.29411764705882354,1.0,False
vertical_cross,up_obj,up,2,7,0.0005,5,5,0.5555555555555556,1.0,0.5294117647058824,1.0,False
diagonal_cross,down_right_obj,down_right,2,7,0.0005,8,1,0.2777777777777778,1.0,0.2777777777777778,1.0,False
diagonal_cross,up_left_obj,up_left,2,7,0.0005,4,5,0.2777777777777778,1.0,0.2777777777777778,1.0,False
